epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0242,2.34099,5.37101,1.5984,0,0,0,0,1.15348,5.24861,1.07699,7.32292e-05,7.32292e-05,7.32292e-05
2,40.9855,1.21921,5.07966,1.04296,0.01191,0.187,0.01208,0.00991,0.82695,4.58887,0.92534,0.000146743,0.000146743,0.000146743
3,61.1125,0.89941,4.79118,0.94025,0.00847,0.08708,0.0112,0.01012,0.7839,4.75604,0.95427,0.000219769,0.000219769,0.000219769
4,81.1583,0.80765,4.58137,0.90984,0.03449,0.10773,0.0305,0.02752,0.67836,4.72606,0.9379,0.000219802,0.000219802,0.000219802
5,101.107,0.76252,4.37726,0.89204,0.04333,0.33956,0.06344,0.05592,0.66448,4.41302,0.8879,0.00021907,0.00021907,0.00021907
6,120.908,0.71113,4.10406,0.88822,0.03254,0.559,0.0904,0.08043,0.62669,4.0651,0.87662,0.000218337,0.000218337,0.000218337
7,140.777,0.68087,3.84603,0.87341,0.3264,0.20904,0.11453,0.10211,0.56527,3.68608,0.85839,0.000217604,0.000217604,0.000217604
8,160.958,0.65233,3.57789,0.86391,0.37977,0.20665,0.1438,0.12376,0.6037,3.19248,0.8465,0.000216872,0.000216872,0.000216872
9,180.72,0.63897,3.34059,0.86136,0.31478,0.27343,0.16995,0.15258,0.50351,3.0304,0.83891,0.000216139,0.000216139,0.000216139
10,200.822,0.6091,3.12375,0.85807,0.29724,0.31736,0.20559,0.18735,0.47583,2.80416,0.83174,0.000215407,0.000215407,0.000215407
11,220.83,0.58501,2.95452,0.86087,0.34685,0.33665,0.2324,0.21392,0.43159,2.73973,0.82387,0.000214674,0.000214674,0.000214674
12,240.837,0.58241,2.81653,0.85206,0.30701,0.41139,0.26526,0.23831,0.49556,2.50463,0.82577,0.000213941,0.000213941,0.000213941
13,260.772,0.56581,2.70843,0.84947,0.28434,0.45186,0.31794,0.28932,0.46645,2.39552,0.83045,0.000213209,0.000213209,0.000213209
14,280.809,0.55912,2.60731,0.85493,0.31717,0.46719,0.37877,0.35067,0.46091,2.3177,0.83294,0.000212476,0.000212476,0.000212476
15,300.954,0.54766,2.50924,0.84806,0.30644,0.4907,0.42882,0.39534,0.42595,2.19449,0.83029,0.000211744,0.000211744,0.000211744
16,320.761,0.52789,2.41908,0.85053,0.37092,0.54558,0.47109,0.43432,0.42718,2.1367,0.83641,0.000211011,0.000211011,0.000211011
17,340.556,0.50313,2.34107,0.84989,0.39831,0.55652,0.53659,0.49981,0.39328,2.04361,0.84029,0.000210278,0.000210278,0.000210278
18,360.61,0.51354,2.27852,0.84337,0.384,0.59395,0.57265,0.53477,0.39026,1.94997,0.84198,0.000209546,0.000209546,0.000209546
19,380.572,0.5007,2.20657,0.84438,0.59173,0.58871,0.62313,0.58147,0.38785,1.90073,0.83178,0.000208813,0.000208813,0.000208813
20,400.869,0.4924,2.132,0.84181,0.50186,0.64033,0.66745,0.62557,0.40011,1.73131,0.83823,0.000208081,0.000208081,0.000208081
21,420.953,0.49524,2.07674,0.84026,0.56162,0.6894,0.70998,0.66363,0.39675,1.57453,0.83522,0.000207348,0.000207348,0.000207348
